,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
16198,0.0,0.0,-2.7,99.9,-1.0,4,-2.71349918181331,0.0
11575,65.0,0.3,-9.8,99.9,-5.8,0,-9.812713669476473,0.0
5110,66.0,0.6,-16.9,65.2,-10.9,0,-21.89672396966374,0.0
2833,64.0,0.6,0.0,31.1,16.2,0,-15.11366720208316,0.0
13022,64.0,0.3,-7.3,99.9,-4.4,4,-7.312987572880893,0.0
10873,338.0,0.3,-5.3,90.6,-2.5,0,-6.596235752835177,0.0
13928,85.0,0.7,5.5,51.0,13.0,0,-3.8504861150243865,0.0
25932,33.0,0.2,-5.5,88.9,-1.8,0,-7.040762911121662,0.0
27117,347.0,0.2,2.0,52.4,8.7,0,-6.741186708966363,0.0
18324,75.0,0.3,0.7,89.5,3.6,0,-0.8297966773884601,0.0
3430,342.0,0.3,1.7,50.0,8.7,0,-7.628689746950967,0.0
13143,332.0,0.2,-2.5,99.9,-0.2,4,-2.513521649855965,0.0
18986,27.0,0.4,-3.5,87.6,0.6,0,-5.261439686941444,0.0
3506,359.0,0.3,0.0,69.3,3.6,0,-4.956891743004248,0.0
17050,0.0,0.0,-6.0,99.9,-3.5,4,-6.0131311562265255,0.0
15089,0.0,0.0,-7.4,99.9,-4.0,4,-7.412976560700552,0.0
22141,333.0,1.7,7.5,44.0,23.2,0,-3.9858617185619862,0.0
17606,90.0,0.9,2.2,82.6,4.6,0,-0.4564949905671704,0.0
6560,0.0,0.0,-12.6,99.9,-7.7,4,-12.612410363065193,0.0
3976,353.0,0.2,1.0,68.1,2.7,0,-4.230264790083953,0.0
21440,342.0,0.5,6.8,50.5,12.2,0,-2.779593222106675,0.0
4435,143.0,0.8,-5.0,45.6,-1.7,0,-14.959215407022931,0.0
16267,309.0,0.2,-4.5,99.9,-2.3,4,-4.5132978100889725,0.0
8178,14.0,0.4,-7.4,89.1,-6.0,0,-8.887522687432599,0.0
8038,0.0,0.0,-12.4,99.9,-7.9,0,-12.412431906379545,0.0
9170,333.0,0.3,0.2,37.0,4.4,0,-12.806691610225384,0.0
11435,0.0,0.0,-6.1,72.6,-2.7,0,-10.226148864194721,0.0
22120,134.0,1.5,8.3,40.5,25.0,0,-4.365709659916196,0.0
3975,0.0,0.0,1.0,70.4,2.7,0,-3.786940449946472,0.0
6499,18.0,0.4,-8.9,99.9,-5.3,4,-8.912811938436962,0.0
